id_pdv;id_sku;fecha_min;fecha_max;anio_semana_min;anio_semana_max;count_nonzero;sum_cantidad;fecha;anio_semana;cantidad;cantidad_neta;cantidad_bruta;venta;venta_neta;venta_bruta;volumen_neto;volumen_bruto;precio
323606;384;30/09/2021;12/10/2021;202139;202141;4;118;04/10/2021;202140;19;19;19;1082.62;1082.62;1082.62;8.550;8.550;56.98
323606;384;30/09/2021;12/10/2021;202139;202141;4;118;05/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;384;30/09/2021;12/10/2021;202139;202141;4;118;07/10/2021;202140;43;43;43;2450.14;2450.14;2450.14;19.350;19.350;56.98
323606;384;30/09/2021;12/10/2021;202139;202141;4;118;08/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;542;30/09/2021;11/04/2022;202139;202215;49;1659;04/10/2021;202140;13;13;13;846.04;846.04;846.04;3.250;3.250;65.08
323606;542;30/09/2021;11/04/2022;202139;202215;49;1659;05/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;542;30/09/2021;11/04/2022;202139;202215;49;1659;07/10/2021;202140;32;32;32;2082.56;2082.56;2082.56;8.000;8.000;65.08
323606;542;30/09/2021;11/04/2022;202139;202215;49;1659;08/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;975;30/09/2021;08/10/2021;202139;202140;2;33;07/10/2021;202140;20;20;20;510.00;510.00;510.00;5.320;5.320;25.50
323606;975;30/09/2021;08/10/2021;202139;202140;2;33;08/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;2741;30/09/2021;15/10/2021;202139;202141;3;41;07/10/2021;202140;16;16;16;737.44;737.44;737.44;4.000;4.000;46.09
323606;2741;30/09/2021;15/10/2021;202139;202141;3;41;08/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;2749;30/09/2021;29/10/2021;202139;202143;8;250;04/10/2021;202140;6;6;6;275.16;275.16;275.16;3.000;3.000;45.86
323606;2749;30/09/2021;29/10/2021;202139;202143;8;250;05/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;2749;30/09/2021;29/10/2021;202139;202143;8;250;07/10/2021;202140;32;32;32;1467.52;1467.52;1467.52;16.000;16.000;45.86
323606;2749;30/09/2021;29/10/2021;202139;202143;8;250;08/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
323606;4464;30/09/2021;09/10/2021;202139;202140;1;7;09/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
612312;294;01/10/2021;08/10/2021;202139;202140;2;6;08/10/2021;202140;3;3;3;150.30;150.30;150.30;1.500;1.500;50.10
612383;4464;06/10/2021;06/10/2021;202140;202140;1;2;06/10/2021;202140;2;2;2;100.00;100.00;100.00;0.864;0.864;50.00
612631;4464;09/10/2021;09/10/2021;202140;202140;0;0;09/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
612641;294;02/10/2021;09/10/2021;202139;202140;2;8;09/10/2021;202140;4;4;4;200.40;200.40;200.40;2.000;2.000;50.10
612653;294;02/10/2021;09/10/2021;202139;202140;2;13;09/10/2021;202140;6;6;6;300.60;300.60;300.60;3.000;3.000;50.10
612730;4464;09/10/2021;09/10/2021;202140;202140;0;0;09/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
612746;4464;09/10/2021;09/10/2021;202140;202140;0;0;09/10/2021;202140;0;0;0;0.00;0.00;0.00;0.000;0.000;0.00
612958;294;01/10/2021;08/10/2021;202139;202140;3;15;05/10/2021;202140;3;3;3;150.30;150.30;150.30;1.500;1.500;50.10
612958;294;01/10/2021;08/10/2021;202139;202140;3;15;08/10/2021;202140;6;6;6;300.60;300.60;300.60;3.000;3.000;50.10
